,predicted_mean,predicted_std,optimal_degree,cv_r2_mean,r2_deg_1,r2_deg_2,r2_deg_3,Sobol_H,Sobol_R,Sobol_W,Sobol_H*R,Sobol_H*W,Sobol_W*R
TG_URB_day_non-city,307.14761108419214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG_URB_night_city,290.06537123492154,1.0671020206134825,3.0,0.9997727481642041,0.9790902307751704,0.9972028653032382,0.9997727481642041,0.6457561206286445,0.029012304319410123,0.31471705935167077,0.0006766800121515838,0.009282201618240215,0.0003488204655682535
TG_URB_night_non-city,307.14761965909935,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TR_URB_day_city,298.4829955639219,0.4580686275994324,3.0,0.9977727195491461,0.8456168749052552,0.9766774078909586,0.9977727195491461,0.4283088147471724,0.32815907634586045,0.04328389104923001,0.11911491118976289,0.047750459138295016,0.011559586432045823
TR_URB_day_non-city,307.14761108419214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TR_URB_night_city,283.4619932795391,0.238990236587163,3.0,0.9990414320426421,0.9185461830046915,0.9900678626230854,0.9990414320426421,0.5091336426728851,0.3521932414624247,0.03700968858912642,0.05696409761573623,0.0325958447325537,0.003690866125491574
TR_URB_night_non-city,307.14761965909935,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TS_URB_day_city,290.5737189082198,0.04901044805170101,3.0,0.9921882133383386,0.7066746755370596,0.9363355315120694,0.9921882133383386,0.04084604455923391,0.5796111458839941,0.010390555979075514,0.18068270537525294,0.024830565522525713,0.04112668808253506
TS_URB_day_non-city,307.14761108419214,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TS_URB_night_city,285.8935554740271,0.4005093530305412,3.0,0.9996633888523883,0.9372931566740045,0.9954022317537516,0.9996633888523883,0.6172254794888152,0.3303699608076459,0.015335120628404605,0.0008365610914031118,0.014224308579715352,0.02200852677726256
TS_URB_night_non-city,307.14761965909935,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UC_URB_day_city,0.6422470158867204,0.15385086452274263,3.0,0.99992780882039,0.9652847819846635,0.9986236283192568,0.99992780882039,0.5815191391016082,0.12665879403150287,0.27987428554944427,0.010777232810562766,0.0005834054197861175,0.0004075089769049636
UC_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UC_URB_night_city,0.43705849300119665,0.10248686282832627,3.0,0.9999252386693158,0.9656460825988477,0.9986096353720633,0.9999252386693158,0.5869986207814281,0.13641367606958857,0.2652842106812022,0.010240976527323427,0.00026238560350542176,0.0005959067191517006
UC_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WS_day_city,2.7863784620818213,0.4158429845627428,3.0,0.999945899637634,0.9717550376268635,0.9986542464305801,0.999945899637634,0.44114801316277646,0.41473439069123846,0.13280263328605876,0.0034684472566714154,0.003254520306427329,0.004485935061817324
WS_day_non-city,4.780842195279996,0.0322005195877958,3.0,0.9986147368854408,0.9722431503642044,0.9972956761948067,0.9986147368854408,0.4427704194881781,0.4324112443185939,0.1144750337467298,0.0037011478281115382,0.002101251123358689,0.004462412454591923
WS_night_city,1.846824304851302,0.2737127995307156,3.0,0.9999282487681868,0.9732628054556036,0.9986937697597984,0.9999282487681868,0.38853711503451577,0.4182912364813066,0.18051268536131262,0.006352856834983417,0.0023417598205315348,0.0037920116449465047
WS_night_non-city,3.718612055029178,0.026894030587451264,3.0,0.9990140656578894,0.973856440415533,0.9981434990280681,0.9990140656578894,0.42395909734324594,0.445733805449284,0.12012663692604472,0.0034690085868210496,0.0022405466346713597,0.004330377640665526
No,50.50200638052855,3.7145735096755232,1.0,-3.4943293590417603,-3.4943293590417603,-4.202182297095911,-5.5781318661722,0.03931761753344782,0.2525453837502831,0.7081369987162692,0.0,0.0,0.0
Day T2 (City),299.5188809262654,0.019536764267040672,3.0,0.9880112487419226,0.647079824486817,0.9643602720173913,0.9880112487419226,0.531212158110245,0.03622386132179475,0.16419584955096037,0.04724127654954603,0.20043974042632418,0.0006196906797541617
Night T2 (City),293.23329985875523,0.08995612806918246,3.0,0.9994319849002633,0.9148439900103463,0.9940363153196202,0.9994319849002633,0.31445173676182747,0.0001305713728162585,0.6091624666051356,0.0008037296613773669,0.07320848283724997,0.0020066343307422957
Day TC_URB (City),310.3475690357331,0.29589326371969454,3.0,0.9990628259621077,0.970091093714499,0.9957134242683097,0.9990628259621077,0.9122881266192372,0.04671162958362793,0.028867597765915028,0.0011465819834302884,0.004990349548303011,0.005840726749109519
Night TC_URB (City),296.8163492878265,0.6019575026666211,3.0,0.9998901787790244,0.9616116723559671,0.998268723628399,0.9998901787790244,0.5549154131234777,0.003871783580341385,0.41351972691371836,0.000122271105800875,0.026826224978600082,0.000744276563167254
Day RH (City),51.46618696478719,0.0633281229596438,3.0,0.9739438627893087,-0.049472896317829584,0.91515277104698,0.9739438627893087,0.257535538017802,0.09565940810232089,0.03345337105030585,0.1321916383348743,0.4393440900233534,0.0025449705266725664
Night RH (City),69.29920732717895,0.491037489821978,3.0,0.9994518848271754,0.9264045227717925,0.9961416915103463,0.9994518848271754,0.4754307241360579,0.009143156139119509,0.4445978567288626,0.004150690040238161,0.06103801433852486,0.005271933729193542
Day WS (City),2.1917427893547665,0.3055279940155864,3.0,0.9999497349920039,0.979027091297438,0.9990887201296802,0.9999497349920039,0.883675159007073,0.0635556663183516,0.044966650584991295,0.00047893051845805527,0.0004964572754427351,0.006802914021554815
Night WS (City),1.0791862205273546,0.13906819415693616,3.0,0.9998885831414484,0.9795156213320991,0.9988697256618787,0.9998885831414484,0.892060722015063,0.0720878267407771,0.02472828579900642,0.001271717591926892,1.837391630067902e-05,0.009758606797353115
Day SNET_URB (City),0.012484857245251207,0.00010627775376147123,3.0,0.9996248103847074,0.9338331308790246,0.9952765730559774,0.9996248103847074,0.007406755551701062,0.36551726215756475,0.5809450139646104,3.2487410891153414e-05,0.004340868863599569,0.04175540951935484
Night SNET_URB (City),0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Day LNET_URB (City),-0.006202720822785085,0.00011334606317723339,3.0,0.9992045762762783,0.8563444318071207,0.9885829181767086,0.9992045762762783,0.02948557377655978,0.39631548071616335,0.47620605511926567,0.0004904521183146737,0.06131817005535561,0.03562561437516999
Night LNET_URB (City),-0.002426149944298865,9.196854258907772e-05,3.0,0.999835952096103,0.9576992869008801,0.9981648758587187,0.999835952096103,0.5965433013913083,0.04071730453402387,0.3208166703231029,0.0012515176337701528,0.030543161003459822,0.00989272174890018
Day PBLH (City),638.294340331918,9.163402909432609,3.0,0.9988575583211675,0.9840937269017236,0.9960829721324241,0.9988575583211675,0.9188715010219656,0.049357472892826076,0.015768865453415284,0.004227154827373056,0.0027986882464521878,0.00750347028369455
Night PBLH (City),258.4207015707469,12.171825384870003,3.0,0.9991319257991856,0.9569766290784367,0.9975794852581068,0.9991319257991856,0.7168148348209651,0.031814464390720554,0.20345631277143203,0.0046332827633490834,0.032269503328284876,0.009713695523459501
Day UC_URB (City),1.175094229307989,0.1737934769208531,3.0,0.9999586983247344,0.9776036887832344,0.999281750845938,0.9999586983247344,0.4567740149645515,0.023292510865540725,0.5162017214008079,0.0004232684778170196,0.0023719881822650687,0.0008434185864729243
Night UC_URB (City),0.6621975124030053,0.09801548149086636,3.0,0.9999591518256153,0.9772609129289892,0.9993240303396798,0.9999591518256153,0.433552751973901,0.021132552902228905,0.5414188692948865,0.0005833355192516968,0.002412193675482198,0.0007487774050220625
NET_URB_day_city,268.47068959521584,1.6997276044431275,3.0,0.9684633048853886,0.25850082880253494,0.8772475317394413,0.9684633048853886,0.06313515894625815,0.18606550497854746,0.2904266280322683,0.03126242158002239,0.23283400010938157,0.09328411414654418
NET_URB_day_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NET_URB_night_city,-102.51570662798336,6.633722345386116,3.0,0.9996625453053085,0.9327588742288949,0.9951798443381138,0.9996625453053085,0.4354828127150799,0.49747166712852076,0.019055255772157397,0.01546623099668123,0.014466476571389043,0.017296075076423726
NET_URB_night_non-city,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
